x('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         605401 function calls (588135 primitive calls) in 1.184 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       86    0.773    0.009    0.773    0.009 {method 'control' of 'select.kqueue' objects}
        6    0.020    0.003    0.020    0.003 {method 'do_handshake' of '_ssl._SSLSocket' objects}
 3084/204    0.018    0.000    0.056    0.000 sre_parse.py:493(_parse)
      192    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
       35    0.015    0.000    0.016    0.000 {built-in method _imp.create_dynamic}
      224    0.011    0.000    0.011    0.000 {built-in method builtins.compile}
 3686/183    0.011    0.000    0.026    0.000 sre_compile.py:71(_compile)
  730/729    0.009    0.000    0.095    0.000 {built-in method builtins.__build_class__}
    12137    0.009    0.000    0.009    0.000 {method 'match' of 're.Pattern' objects}
     1267    0.008    0.000    0.043    0.000 parser.py:301(parse_starttag)
     1096    0.007    0.000    0.007    0.000 {built-in method posix.stat}
      192    0.007    0.000    0.007    0.000 {built-in method io.open_code}
    65792    0.006    0.000    0.006    0.000 http_websocket.py:124(<genexpr>)
        2    0.006    0.003    0.071    0.035 parser.py:134(goahead)
    18190    0.006    0.000    0.006    0.000 sre_parse.py:233(__next)
54534/54533    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
      726    0.006    0.000    0.008    0.000 sre_compile.py:276(_optimize_charset)
    20881    0.005    0.000    0.008    0.000 sre_parse.py:164(__getitem__)
     1268    0.005    0.000    0.012    0.000 element.py:1152(__init__)
        1    0.005    0.005    0.011    0.011 http_websocket.py:124(<listcomp>)
    58544    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
51333/47001    0.005    0.000    0.006    0.000 {built-in method builtins.len}
        1    0.005    0.005    0.005    0.005 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
 3701/390    0.005    0.000    0.007    0.000 sre_parse.py:174(getwidth)
 1106/184    0.004    0.000    0.056    0.000 sre_parse.py:435(_parse_sub)
      152    0.004    0.000    0.004    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      562    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.004    0.004    0.026    0.026 dammit.py:2313(_populate_class_variables)
     1267    0.003    0.000    0.019    0.000 __init__.py:691(handle_starttag)
    11960    0.003    0.000    0.007    0.000 sre_parse.py:254(get)
     1267    0.003    0.000    0.023    0.000 _htmlparser.py:119(handle_starttag)
      929    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x10980fab0}
     1199    0.003    0.000    0.014    0.000 parser.py:386(parse_endtag)
      960    0.003    0.000    0.005    0.000 __init__.py:285(_replace_cdata_list_attribute_values)
     3700    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
